epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.336,1.43277,1.53004,1.18084,0.97691,0.92727,0.97102,0.59195,1.35789,1.14271,1.14465,0.000662602,0.000662602,0.000662602
2,2679.35,1.28186,0.84262,1.11196,0.99272,0.97349,0.99334,0.64596,1.18769,0.66555,1.07597,0.00114127,0.00114127,0.00114127
3,3266.63,1.24196,0.69726,1.10057,0.98743,0.9692,0.9902,0.66355,1.14408,0.58339,1.05466,0.00143137,0.00143137,0.00143137
4,3848.62,1.21474,0.62198,1.08406,0.98845,0.98052,0.99391,0.67765,1.11993,0.54598,1.04617,0.00115143,0.00115143,0.00115143
5,4314.12,1.16002,0.56283,1.06534,0.99282,0.98744,0.99461,0.6894,1.15204,0.48945,1.06326,0.000868571,0.000868571,0.000868571
6,7425.38,1.13392,0.52307,1.0494,0.99557,0.99156,0.9948,0.7087,1.06689,0.43384,1.01355,0.000585714,0.000585714,0.000585714
7,8022.54,1.0974,0.48368,1.03096,0.99437,0.99481,0.99488,0.71943,1.09156,0.40704,1.02593,0.000302857,0.000302857,0.000302857
